question,answer
ما هي الاتفاقية التي عقدت في ميشيل بين فرنسا وعبد القادر الجزائري؟,عقدت في ميشيل اتفاقية بين فرنسا وعبد القادر الجزائري.
ما هي الاتفاقية التي عقدتها فرنسا مع عبد القادر الجزائري؟,عقدت فرنسا اتفاقية النفقة مع عبد القادر الجزائري.
ما هي الجماعة التي ظهرت للحفاظ على الهوية الجزائرية؟,ظهرت جماعة علماء الجزائر للحفاظ على الهوية الجزائرية.
ما هي المحاولة التي قامت بها لإقامة اتحاد فيدرالي بين فرنسا والجزائر؟,قامت بمحاولة لإقامة اتحاد فيدرالي بين فرنسا والجزائر.
من صدر قرار من الأمم المتحدة بحق الجزائر في الاستقلال؟,صدر قرار من الأمم المتحدة بحق الجزائر في الاستقلال بعد مصر.
ما هي الاتفاقية التي أدت إلى حصول الجزائر على استقلالها؟,أدت اتفاقية ايفيان إلى حصول الجزائر على استقلالها.
من استعمر تونس؟,استعمرت تونس من قبل فرنسا.
ما الإجراء الذي اتخذه السلطان العثماني في ليبيا؟,قام السلطان العثماني بطرد الأسرة القرمنلية في ليبيا.
ماذا أصدر الباي محمد عهد الأمان في تونس؟,أصدر الباي محمد عهد الأمان في تونس بتساوي المواطنين أمام القانون.
ماذا أصدر الباي محمد الصادق في تونس؟,أصدر الباي محمد الصادق دستور في تونس بمنح الامتيازات للدول الأجنبية.
ما الاتفاقية التي فرضتها فرنسا؟,فرضت فرنسا معاهدة سان ستيفانو.
ماذا حدث عندما قبضت فرنسا على الزعماء التونسيين في المؤتمر الوطني؟,حدثت ضجة عالمية.
من قام بإجلاء الاحتلال الفرنسي من قاعدة بنزرت البحرية بتونس؟,قام بإجلاء الاحتلال الفرنسي من قاعدة بنزرت البحرية بتونس جمال عبد الناصر.
من احتل مراكش؟,احتلت مراكش فرنسا.
ما الاتفاقية التي فرضتها فرنسا على سلطان المغرب؟,فرضت فرنسا معاهدة الامتيازات على سلطان المغرب.
ما الاتفاقية التي عقدها انجلترا مع آل الصباح في الكويت؟,عقدت انجلترا اتفاقية في الكويت بمنع مد خط حديد المانيا.
ما الحدث الذي وقع في مؤتمر الجزيرة؟,وقعت حادثة أغادير في مؤتمر الجزيرة.
ما الإعلان الذي قامت فرنسا بإصداره؟,قامت فرنسا بإعلان الحماية على مراكش.
من كان يقود المقاومة الوطنية في الريف الاسباني؟,كان عبد الكريم الخطابي يقود المقاومة الوطنية في الريف الاسباني.
ماذا نجحت في تحقيقه اسبانيا؟,نجحت اسبانيا في استقلال التام للمغرب.
من احتل مراكش؟,احتلت مراكش فرنسا.
ما الاتفاقية التي فرضتها فرنسا على سلطان المغرب؟,فرضت فرنسا معاهدة الامتيازات على سلطان المغرب.
ما الاتفاقية التي عقدها انجلترا مع آل الصباح في الكويت؟,عقدت انجلترا اتفاقية في الكويت بمنع مد خط حديد المانيا.
ما الحدث الذي وقع في مؤتمر الجزيرة؟,وقعت حادثة أغادير في مؤتمر الجزيرة.
ما الإعلان الذي قامت فرنسا بإصداره؟,قامت فرنسا بإعلان الحماية على مراكش.
من كان يقود المقاومة الوطنية في الريف الاسباني؟,كان عبد الكريم الخطابي يقود المقاومة الوطنية في الريف الاسباني.
ما الاستقلال الذي حصلت عليه المغرب؟,حصل المغرب على الاستقلال التام.
من قام بتوجيه ايطاليا إنذارا لتركيا بحتلال سواحل ليبيا؟,قامت ايطاليا بتوجيه إنذار لتركيا بحتلال سواحل ليبيا.
من مبايع محمد إدريس السنوسي أميرا على برقة وطرابلس؟,مبايع محمد إدريس السنوسي أميرا على برقة وطرابلس.
من سقط أسيرا في يد الايطاليين وتم إعدامه؟,سقط عمر المختار أسيرا في يد الايطاليين وتم إعدامه.
ماذا حصلت ليبيا بعد حصولها على الاستقلال؟,حصلت ليبيا على الاستقلال النام.
ما موضوع الفصل السادس؟,التوسع الاستعماري في البلاد العربية بعد الحرب العالمية الأولى.
ما الدرس الأول في هذا الفصل؟,قيام الحرب العالمية الأولى ومصير الدولة العثمانية.
ما الدرس الثاني في هذا الفصل؟,سوريا ولبنان من الانتداب إلى الاستقلال.
ما الدرس الثالث في هذا الفصل؟,العراق من الانتداب إلى الاستقلال.
من هو الشريف حسن بن علي؟,الشريف حسن بن علي هو شخصية تاريخية عربية.
من هو فيصل بن الشريف حسن؟,فيصل بن الشريف حسن هو شخصية تاريخية عربية.
ما هي اتفاقية سايكس بيكو؟,اتفاقية سايكس بيكو هي اتفاقية تقسيم الشرق الأوسط بين بريطانيا وفرنسا بعد الحرب العالمية الأولى.
من هو شكري القواتلي؟,شكري القواتلي هو شخصية تاريخية عربية.
من هو بشارة الخوري؟,بشارة الخوري هو شخصية تاريخية عربية.
من هو رشيد عالي الكيلاني؟,رشيد عالي الكيلاني هو شخصية تاريخية عربية.
ما هو الأسبق؟,الأسبق هو لقب يمنح للشخص الذي تقلد منصباً رفيعاً أو كبير المسؤولية.
ما سبب دخول الدولة العثمانية الحرب العالمية الأولى؟,استرداد ما أخذته منها انجلترا وفرنسا من ولايات وإنقاذ ما تبقي من ولايات من أطماع دول الوفاق.
ما الدور الذي لعبته الأسطول العثماني في الحرب العالمية الأولى؟,قام الأسطول العثماني، مدعوماً بقطعتين حربيتين ألمانيتين، بقصف مينائين روسيين.
ما كان تأثير إعلان الدولة العثمانية الجهاد المقدس عام 1914؟,أثار تحفيزاً في البلاد العربية، لكن سرعان ما ساد الحذر بين زعماء العرب.
ما النتائج التي نتجت عن الأزمة بين العرب والترك منذ قيام الحرب العالمية الأولى؟,ساد الحذر بين زعماء العرب ونمو تيار فكري يدعو إلى التريث في تأييد تركيا في الحرب.
من قاد العرب بالثورة العربية ضد الدولة العثمانية؟,الشريف حسين.
ما كان هدف دخول تركيا الحرب العالمية الأولى مع دول الوسط؟,قوع معظم البلاد العربية في قبضة دول الوفاق.
لماذا انضمت الدولة العثمانية في الحرب العالمية الأولى مع دول الوسط؟,لتحقيق دوافع سياسية وخوفاً على أملاكها.
ما هو أول صدام عسكري للدولة العثمانية في الحرب العالمية الأولى؟,مع روسيا.
ما السبب في اشتراك المانيا في الحرب العالمية الأولى مع دول الوسط؟,تبعيات نتائج مؤتمر الجزيرة.
ما هي الجهة التي قدمت دعماً للدولة العثمانية في الحرب العالمية الأولى على المستوى العسكري؟,المانيا.
ما الذي قامت تركيا بفعله في بداية الحرب العالمية الأولى بفضل الدعم العسكري الخارجي؟,قصف بعض الموانئ الروسية.
ماذا كان أول مظهر لاشتراك الدولة العثمانية في الحرب العالمية الأولى؟,إعلان السلطان العثماني نداء الجهاد المقدس في نوفمبر 1914.
لماذا انزعجت انجلترا من فكرة نداء الجهاد المقدس في نوفمبر 1914؟,بسبب إثارة العداء ضد وجود انجلترا في الشرق.
ما هو تأثير إعلان السلطان العثماني الجهاد المقدس في نوفمبر 1914 على البلاد العربية؟,أثار حماساً في البداية بدافع الانتماء الديني.
ما كان الهدف من إعلان السلطان العثماني لنداء الجهاد المقدس في نوفمبر 1914؟,إثارة العرب وتحريكهم لدعم الدولة العثمانية في الحرب.
ماذا كانت ردود الفعل في البداية على نداء الجهاد المقدس في البلاد العربية؟,أثار حماساً في البداية بدافع الانتماء الديني.
ما هي الدول التي كانت تستهدفها القوات العثمانية في بداية الحرب العالمية الأولى؟,روسيا القيصرية.
لماذا انزعجت انجلترا من فكرة نداء الجهاد المقدس في نوفمبر 1914؟,بسبب إثارة العداء ضد وجود انجلترا في الشرق.
لماذا لم يؤثر نداء الجهاد المقدس في نوفمبر 1914 بشكل كبير على العرب؟,بسبب معاناة العرب من الحكم التركي.
ما الذي أحدثه نداء تركيا بالجهاد المقدس؟,صدي قوي بين المسلمين.
ما الهدف من إطلاق السلطان العثماني نداء الجهاد المقدس في نوفمبر 1914؟,أهداف سياسية ودينية.
ماذا كان موقف العرب تجاه إعلان السلطان العثماني الجهاد المقدس في نوفمبر 1914؟,ساد الحذر بين زعماء العرب من إعلان الجهاد المقدس بسبب رفضهم سياسة التتريك.
ماذا كان تأثير فشل المؤتمر العربي الأول في باريس على موقف العرب في الحرب العالمية الأولى؟,نمو تيار فكري يدعو العرب إلى التريث في الحرب العالمية الأولى بسبب فشل التفاهم بين العرب والترك.
لماذا انزعجت انجلترا من فكرة نداء الجهاد المقدس في نوفمبر 1914؟,بسبب إثارة العداء ضد وجود انجلترا في الشرق.
لماذا لم يؤثر نداء الجهاد المقدس في نوفمبر 1914 بشكل كبير على العرب؟,بسبب معاناة العرب من الحكم التركي.
ما هدف إطلاق السلطان العثماني نداء الجهاد المقدس في نوفمبر 1914؟,لأهداف سياسية ودينية.
ما تأثير إعلان السلطان العثماني للجهاد المقدس في بداية الحرب العالمية الأولى على المسلمين؟,أحدث نداء تركيا بالجهاد المقدس صدى قوي بين المسلمين.
ماذا يعني موقف العرب تجاه إعلان الجهاد المقدس في نوفمبر 1914؟,ساد الحذر بين زعماء العرب بسبب رفضهم سياسة التتريك.
ما العامل المحفز لنمو تيار فكري يدعو العرب إلى التريث في الحرب العالمية الأولى؟,فشل التفاهم بين العرب والترك.
ماذا فعل الشريف حسين بن علي عندما تولى شرافة مكة عام 1908؟,تطلع لتكوين دولة عربية كبرى وقام بنشاط سياسي واسع في داخل وخارج شبه الجزيرة العربية.
ما هي النتيجة التي أدت إلى تواصل عبد الله بن الحسين مع السير رونالد بالقاهرة قبل الحرب؟,إظهار الانجليز تعاطفا مع الشريف حسين بعد وقوع الحرب العالمية الأولى.
ما العقبة التي واجهت انجلترا في التعاون مع العرب خلال الحرب العالمية الأولى؟,مشكلة في التفاهم مع زعماء العرب.
لماذا فضلت حكومة الهند البريطانية التفاهم مع عبد العزيز آل سعود؟,بسبب رفض كل من عبد العزيز آل سعود والشريف حسين لنظرية أن الدولة العثمانية تمثل دولة الخلافة.
ما سبب تفضيل انجلترا التفاهم مع الشريف حسين عن غيره من زعماء العرب؟,بسبب موقعه في مكة وحسبه ونسبه، حيث ينسب للإشراف من بني هاشم، وكان المؤهل لإعلان ثورة كبرى ضد الأتراك وإطلاق نداء بالجهاد.
ما الهدف الذي سعى إليه الشريف حسين بن علي عند توليه شرافة مكة في عام 1908؟,تكوين دولة عربية كبرى.
ما النشاط الذي قام به الشريف حسين بن علي داخل وخارج شبه الجزيرة العربية لتحقيق هدفه؟,نشاط سياسي واسع.
ماذا قام عبد الله بن الحسين بفعله قبل الحرب لتحديد موقف إنجلترا من محاولات العثمانيين لعزل الشريف حسين من منصبه؟,اتصل بالسير رونالد في القاهرة.
ما النتيجة التي أسفر عنها تحديد موقف إنجلترا من محاولات العثمانيين لعزل الشريف حسين؟,إظهار الانجليز تعاطفا مع الشريف حسين بعد وقوع الحرب العالمية الأولى.
ما الذي ظهر بعد وقوع الحرب العالمية الأولى فيما يتعلق بالاتصال بين الشريف حسين والمندوب البريطاني بالقاهرة؟,تنشيط قنوات الاتصال بينهما.
ما المشكلة التي واجهت إنجلترا في التفاهم مع زعماء العرب أثناء الحرب العالمية الأولى؟,التعاون مع العرب.
لماذا فضلت حكومة الهند البريطانية التفاهم مع عبد العزيز آل سعود؟,بسبب نظرية أن الدولة العثمانية تمثل دولة الخلافة التي يمثلها عبد العزيز آل سعود.
لماذا حمست حكومة لندن التفاهم مع الشريف حسين؟,بسبب موقعه في مكة وحسبه ونسبه.
ما السبب الذي جعل إنجلترا تفضل التفاهم مع الشريف حسين دون غيره من زعماء العرب؟,موقعه في مكة وحسبه ونسبه، حيث ينسب للإشراف من بني هاشم.
ما الذي يعتبر الشريف حسين بن علي المؤهل لفعله بناءً على موقعه ونسبه؟,إعلان ثورة كبرى ضد الأتراك وإطلاق نداء بالجهاد.
ماذا تطمح الشريف حسين بن علي لتحقيقه منذ توليه شرافة مكة في عام 1908؟,يطمح لتكوين دولة عربية كبرى.
ما الشبه الكبير بين هدف الشريف حسين ومحمد علي؟,كلاهما يسعى لتكوين دولة عربية كبرى مستقلة ويعارض كل من الدولة العثمانية.
ما النتيجة التي نتجت عن تباحث الأمير عبد الله بن الحسين مع رونالد ستورز؟,تعاطف الإنجليز مع الشريف حسين.
ما السبب وراء محاولة الشريف حسين مواجهة الدولة العثمانية؟,تسعى الدولة العثمانية لإقصائه عن موقعه.
لماذا نشطت قنوات الاتصال بين الشريف حسين وإنجلترا؟,لزيادة مكانته السياسية والدينية.
ما المشكلة التي واجهت إنجلترا في التعاون مع العرب أثناء الحرب العالمية الأولى؟,مشكلة اختيار القيادة المؤهلة.
لماذا فضلت حكومة الهند البريطانية التفاهم مع عبد العزيز آل سعود أثناء الحرب العالمية الأولى؟,بسبب القيادة المؤهلة.
ما الهدف الذي دفع الشريف حسين بن علي لمواجهة الدولة العثمانية؟,تسعى الدولة العثمانية لإقصائه عن موقعه.
ما الغاية من نشاط الاتصال بين الشريف حسين وإنجلترا؟,زيادة مكانته السياسية والدينية.
ما المشكلة التي واجهت إنجلترا في التعاون مع العرب أثناء الحرب العالمية الأولى؟,اختيار القيادة المؤهلة.
لماذا فضلت حكومة الهند البريطانية التفاهم مع عبد العزيز آل سعود أثناء الحرب العالمية الأولى؟,بسبب القيادة المؤهلة.
لماذا حمست حكومة لندن التفاهم مع الشريف حسين بن علي أثناء الحرب العالمية الأولى؟,لأنه ينسب إلى الأشراف من بني هاشم وكان الأنسب لإعلان نداء الجهاد.
ما هدف حكومة لندن من تشجيع الشريف حسين لإعلان نداء الجهاد المقدس؟,افشال فكرة تكتيل الشعوب ضدها والتصدي لمخطط الباب العالي.
ما الهدف الذي عملت إنجلترا عليه في الحرب العالمية الأولى بخصوص العرب؟,إعادة تعييد العرب للتصدي لمخطط الباب العالي.
لماذا فضلت حكومة لندن التفاهم مع الشريف حسين بن علي عن التعاون مع عبد العزيز آل سعود؟,لأسباب سياسية.
ما الشبه الذي يجمع بين عبد العزيز آل سعود والشريف حسين بن علي في موقفهما من الدولة العثمانية؟,رفضهما لأن تكون الظافة في الدولة العثمانية.
ما الهدف الاسمي الذي يتفق عليه عبد العزيز آل سعود والشريف حسين بن علي رغم اختلاف وجهات نظر حكومة الهند وحكومة لندن؟,قيام ثورة عربية ضد الاتراك.
ما موقف عبد العزيز آل سعود من الدولة العثمانية أثناء الحرب العالمية الأولى؟,رافضا التعاون معها بسبب موقفهم من الحركة الوهابية.
ما الذي أدى إلى سقوط فكرة الجامعة الإسلامية عند بعض الزعمات العربية قبل الحرب العالمية الأولى؟,ظهور الحرب العالمية الأولى.
ما هي طموحات الشريف حسين التي أعلنها في مراسلاته مع مكماهون؟,1- أن يتولى الخلافة الإسلامية بدلا من الخليفة العثماني. 2- إقامة دولة عربية تضم العراق والشام والجزيرة العربية وأن يكون ملكا على العرب.
ما موقف انجلترا من طموحات الشريف حسين التي أعلنها في مراسلاته مع مكماهون؟,رفضت طلب الشريف حسين بالخلافة وتنصيبه ملكا على العرب بحجة ارتباطها بمعاهدات مع مشيخات الجزيرة العربية ووجود مصالح لفرنسا في الشام وجنوب العراق تحت سيطرة القوات البريطانية.
ما كانت طموحات الشريف حسين في مراسلاته مع مكماهون؟,تولي الخلافة وإقامة دولة عربية مستقلة تضم العراق والشام والجزيرة العربية.
ما هدف الشريف حسين في مراسلاته مع مكماهون خلال عامي 1915 و1916؟,الاعتراف باستقلال البلاد العربية في الجناح الأسيوي ورغبته في أن يكون ملكا على العرب.
ماذا كانت ردة فعل إنجلترا على مطالب الشريف حسين بن علي في عام 1916؟,رفضت مطالبه بالخلافة وأن يكون ملكا على العرب معتمدة على التزام بريطانيا بمعاهدة الصلح العامة 1820.
ماذا أوضحت مطالب الشريف حسين في مراسلاته مع مكماهون؟,أوضح رفضه للخلافة العثمانية.
ماذا تنبأ رد الإنجليز على مطالب الشريف حسين بن علي في عام 1916؟,تنبأ بسياسة استعمارية في المنطقة.
ماذا كان تأثير علاقات انجلترا التعاهدية مع حكام شبه الجزيرة العربية على فشل إقامة دولة عربية مستقلة؟,أثرت على فشل إقامة دولة عربية مستقلة بسبب رفض انجلترا لمطالب الشريف حسين بن علي بسبب تضارب مطالبه مع مصالحها الاستعمارية.
ما هو السبب الحقيقي لفشل الشريف حسين في تحقيق طموحاته؟,تغيير موازين القوى بالمنطقة العربية.
ما هي أهم الاتفاقيات التي أثبتت عجز الشريف حسين على إحكام سيطرته على شبه الجزيرة العربية؟,اتفاقية دارين.
ما هي النتيجة المباشرة لتوقيع اتفاقية دارين 1915 بين انجلترا وعبد العزيز آل سعود؟,سقوط فكرة تكوين رابطة عربية وتحطيم مشروع الشريف حسين.
ماذا كانت من نتائج توقيع اتفاقية دارين 1915 بين انجلترا وعبد العزيز آل سعود؟,سقوط فكرة تكوين رابطة عربية وتحطيم مشروع الشريف حسين.
ما سبب استبعاد انجلترا لمدينتي مرسين واطنه من مشروع الشريف حسين؟,لأنهما غير عربيتان.
لماذا تهربت انجلترا من وعودها للشريف حسين بحجة عدم استطاعتها أن تغضب دولة من دول الوفاق التي لها مصالح في سوريا؟,لأنها كانت تخشى تغضب دولاً أخرى لها مصالح في سوريا.
ما السبب وراء تنشيط قنوات الاتصال بين شريف مكة ومكماهون في مصر؟,اشتعال الحرب العالمية الأولى.
لماذا اعتبر الشريف حسين أنه أخطأ في مراسلاته مع الإنجليز؟,لأنه لم يدرك خطط انجلترا الاستعمارية.
ما هي المكاسب السياسية التي حصل عليها عبد العزيز آل سعود من انجلترا خلال الحرب العالمية الأولى؟,حصل على الحفاظ على وجوده السياسي في الجزيرة العربية.
ماذا كانت نتيجة توقيع اتفاقية دارين 1915 بين انجلترا وعبد العزيز آل سعود؟,سقوط فكرة تكوين رابطة عربية وتحطيم مشروع الشريف حسين.
ما سبب استبعاد انجلترا لمدينتي مرسين واطنه من مشروع الشريف حسين؟,لأنهما غير عربيتان.
لماذا تهربت انجلترا من وعودها للشريف حسين بحجة عدم استطاعتها أن تغضب دولة من دول الوفاق التي لها مصالح في سوريا؟,لأنها كانت تخشى تغضب دولاً أخرى لها مصالح في سوريا.
لماذا اعتبر الشريف حسين أنه أخطأ في مراسلاته مع الإنجليز؟,لأنه لم يدرك خطط انجلترا الاستعمارية.
ما هو السبب وراء تنشيط قنوات الاتصال بين شريف مكة ومكماهون في مصر؟,اشتعال الحرب العالمية الأولى.
ما هي أسباب الثورة العربية في عام 1916؟,1- سوء العلاقة بين العرب والترك ورفض العرب للحكم التركي. 2- رغبة الشريف حسين في إقامة دولة عربية مستقلة.
ماذا كانت أسباب تعجيل الشريف حسين في إعلان الثورة العربية على الأتراك في عام 1916؟,1- إسناد الأتراك حكم جدة إلى وهيب باشا وإقصاء الشريف حسين من منصبه. 2- هزيمة قوات جمال الترك وقرب الخطر عليه وعلى زعماء العرب.
ما هي نتائج إعلان الشريف حسين الجهاد والثورة العربية ضد الأتراك في عام 1916؟,1- نجاح قوات الشريف حسين في تصفية الوجود العثماني في الحجاز. 2- زحف قوات الشريف حسين شمالاً واستيلاء على العقبة. 3- تمكن قوات فيصل بن الحسين من التوجه نحو القدس ودخول دمشق وحمص وحماة وحلب. 4- استيلاء القوات الإنجليزية على بغداد والموصل وطرد القوات العثمانية من العراق.
ماذا حدث بعد إعلان الدولة العثمانية وقف القتال في نوفمبر 1918؟,تم عقد هدنة مدروسة.
ما هي أسباب قيام الثورة العربية ضد الأتراك في عام 1916؟,استمرار الأزمة العربية التركية، دخول العرب الحرب العالمية الأولى بجانب دول الوفاق بسبب رغبتهم في تكوين رابطة عربية، وتأمر الأتراك بإقصاء الشريف حسين من منصبه.
ماذا كانت أسباب تعجيل الشريف حسين في قيام الثورة العربية في عام 1916؟,تعيين وهيب باشا والياً على ولاية جدة وتغيير القيادة السياسية في بعض ولايات الجزيرة العربية.
ما هي أوجه النقد لإعلان الشريف حسين للثورة العربية في عام 1916؟,عدم حصوله على ضمانات دولية لطموحاته ووضع ثقته في دول الوفاق.
ما هو الخطأ الذي ارتكبه الشريف حسين في إعلان الثورة ضد الأتراك في عام 1916؟,وضع ثقته في دول الوفاق وعدم حصوله على ضمانات دولية لطموحاته.
ما النتيجة التي نجمت عن تولية وهيب باشا حكم جدة؟,انتهاء الوجود العثماني في بلاد العرب.
ما هو السبب الذي دفع الشريف حسين إلى تعجيل قيام الثورة في عام 1916؟,تخوفه من بطش الأتراك وكونهم السبب في هزيمة القوات العثمانية.
ماذا كان تأثير تعاون العرب مع الجبهة المعادية على موقف الشريف حسين من الدولة العثمانية؟,أثر على تأثر موقفه سلبًا.
ما الذي دفع جمال باشا للقبض على زعماء الحركة العربية في سوريا وإعدامهم؟,وثائق تدينهم والتي عثر عليها في السفارة الفرنسية في بيروت.
ما النتيجة التي نتجت عن قيام الثورة العربية بقيادة الشريف حسين؟,إنهاء الوجود التركي في الحجاز باستثناء المدينة.
ما الذي تأثر به موقف الشريف حسين من الدولة العثمانية خلال الحرب العالمية الأولى؟,تأثر موقفه بعد إعدام جمال باشا للزعماء العرب والقبض عليهم بناءً على وثائق تدينهم.
ما النتيجة التي نتجت عن قيام جمال الترك بالقبض على زعماء الحركة العربية في سوريا وإعدامهم؟,نتج عن ذلك خروج الثورة العربية بقيادة الشريف حسين عام 1916 وإنهاء الوجود التركي في الحجاز باستثناء المدينة.
ما النتيجة التي نتجت عن الثورة العربية بقيادة الشريف حسين عام 1916؟,نهاية النفوذ التركي في بلاد العرب وانتهاء الوجود العثماني في الشام وطرد قوات انجلترا للعثمانيين من العراق واستيلائها على بغداد عام 1918.
ما الذي استطاعت انجلترا القيام به بعد عقد هدنة مدروس؟,استطاعت انجلترا السيطرة على مدينة الموصل في العراق.
ما العلاقة بين معارك الحرب العالمية الأولى ومعارك الثورة العربية؟,توافقت معارك الحرب العالمية الأولى مع معارك الثورة العربية في إحراز انتصارات على تركيا في سوريا والعراق.
ماذا حدث إذا قبلت روسيا البلشفية اتفاقية سايكس بيكو؟,إذا قبلت روسيا البلشفية اتفاقية سايكس بيكو، لم يكن هناك تسريب للاتفاقية وتم تقسيم أملاك الدولة العثمانية بين انجلترا وفرنسا وروسيا.
ما هي الأسباب التي أدت إلى انسحاب روسيا من اتفاقية مع انجلترا وفرنسا لاقتسام الدولة العثمانية في الحرب العالمية الأولى؟,أسباب انسحاب روسيا من الاتفاقية تشمل اندلاع الثورة البلشفية (الشيوعية) في روسيا ورفضها لهذه المؤامرة.
ما الذي حدث إذا قامت روسيا بتسريب نصوص الاتفاقية الثلاثية؟,إذا تم تسريب نصوص الاتفاقية الثلاثية، لم يكن هناك انسحاب من الاتفاقية وبالتالي لم تتم تقسيم أملاك الدولة العثمانية بين انجلترا وفرنسا وروسيا.
ماذا عرفت الاتفاقية بسبب رفض روسيا هذه المؤامرة؟,عرفت الاتفاقية باتفاقية سايكس/ بيكو واقتصرت على انجلترا وفرنسا.
ما هو موقف روسيا من اتفاقية سايكس بيكو؟,روسيا سربت نصوص الاتفاقية التي عقدتها مع انجلترا وفرنسا لتقسيم أملاك الدولة العثمانية وأعلنت رفضها لهذه المؤامرة.
ما هي أسباب انسحاب روسيا من اتفاقية مع انجلترا وفرنسا لاقتسام الدولة العثمانية في الحرب العالمية الأولى؟,أسباب انسحاب روسيا تشمل اندلاع الثورة البلشفية (الشيوعية) في روسيا ورفضها لهذه المؤامرة.
ماذا يحدث إذا تم تسريب نصوص اتفاقية سايكس بيكو؟,إذا تم تسريب نصوص الاتفاقية، فإن الاتفاقية لن تقتصر على انجلترا وفرنسا فقط وستعرف باسم اتفاقية سايكس بيكو.
لماذا أطلق على الاتفاقية اسم سايكس بيكو؟,أطلق على الاتفاقية اسم سايكس بيكو نسبةً إلى السياسيين البريطاني سايكس والفرنسي بيكو اللذين شاركا في التواطؤ لتقسيم الشرق الأوسط.
ما هي نتائج اتفاقية سايكس بيكو عام 1916؟,نتائج الاتفاقية تشمل منع دخول القوات العربية بقيادة فيصل بن الحسين بيروت، سمحت انجلترا لفرنسا بأنزال قواتها في بيروت، وفشل الشريف حسين في كسب أعضاء مؤتمر الصلح إلى جانب قضية استقلال العرب.
ما هي تفاصيل تقسيم الهلال الخصيب والمنطقة الصحراوية وفقًا لاتفاقية سايكس بيكو؟,تقسيم الهلال الخصيب شمل حصول فرنسا على سوريا ولبنان وجزء من العراق، وحصول انجلترا على البصرة وبغداد في العراق وأجزاء من جنوب سوريا، بينما تم تقسيم المنطقة الصحراوية بين الشام والعراق.
ما هي أكبر خدعة ضد العرب والشريف حسين في القرن العشرين؟,اتفاقية سايكس بيكو.
ما هو سبب انسحاب روسيا من اتفاقية سايكس بيكو 1916؟,تغير النظام السياسي في روسيا بسبب اندلاع الثورة البلشفية.
ما هو دور الشيوعية في نهاية الحرب العالمية الأولى؟,لعبت الشيوعية دورًا كبيرًا في نهاية الحرب العالمية الأولى من خلال إفصاح نوايا دول الوفاق الاستعمارية.
ماذا كان يمكن التوقع في حالة عدم قيام الثورة البلشفية في روسيا؟,كان من الممكن التوقع أن تحقق روسيا توسعات استعمارية.
ما هو الموقف المتناقض لروسيا من اتفاقية سايكس بيكو؟,نصت اتفاقية سايكس بيكو على اقتسام منطقة الهلال الخصيب بين انجلترا وفرنسا، في حين انسحبت روسيا من الاتفاقية بسبب تغير نظام الحكم فيها.
ما هو الاتفاق الذي تم التوصل إليه في مؤتمر سان ريمو عام 1920؟,تقرر في مؤتمر سان ريمو اعادة النظر في اتفاقية سايكس بيكو.
ما هي النتيجة الرئيسية لتعديل اتفاقية سايكس بيكو في مؤتمر سان ريمو؟,أصبحت العراق وفلسطين تحت الانتداب البريطاني، وأصبحت سوريا ولبنان تحت الانتداب الفرنسي.
ما هو التشابه بين اتفاقية سايكس بيكو ومؤتمر سان ريمو؟,يتمثل التشابه في أن كلاهما يعتبر مؤامرة استعمارية لتقسيم الفهلال الخصيب.
ما هي النتيجة الرئيسية لمؤتمر سان ريمو عام 1920؟,ضربة قاضية لاستقلال منطقة الهلال الخصيب وإضفاء الصفة القانونية للاستعمار في الشام والعراق.
ما هو سبب ابادة قوات الشريف حسين عند تربة في عام 1919؟,يعود سبب ابادة قوات الشريف حسين عند تربة إلى حفاظ عبد العزيز ال سعود على قواته خلال الحرب العالمية الأولى.
ماذا يمثل تحقيق عبد العزيز ال سعود لانتصار على قوات الشريف حسين عند تربة عام 1919؟,يمثل استيلاؤه على الحجاز.
ما هو الهدف من ابادة قوات الشريف حسين عند تربة عام 1919؟,الهدف من ابادة قوات الشريف حسين عند تربة عام 1919 يعود إلى حفاظ عبد العزيز ال سعود على قواته خلال الحرب العالمية الأولى ومهد انتصار قواته على قوات الشريف حسين.
ما هي النتيجة التي حققها عبد العزيز ال سعود عام 1921؟,حقق عبد العزيز ال سعود عام 1921 ضم حائل بعد أن وجه ضربة نهائية لإلى الرشيد.
ما هي النتيجة التي حققها عبد العزيز ال سعود عام 1924؟,حقق عبد العزيز ال سعود عام 1924 استيلاء على الطائف.
ما هي النتيجة التي حققها عبد العزيز ال سعود عام 1926؟,حقق عبد العزيز ال سعود عام 1926 استيلاء على معظم مدن الحجاز وأطلق على نفسه لقب ملك الحجاز وسلطان نجد في يناير 1926.
ما هو الصراع الذي دار بين السعودية واليمن في النصف الأول من القرن العشرين؟,الصراع كان حول منطقة عسير.
متى نجح عبد العزيز ال سعود في الاستيلاء على الطائف؟,نجح عبد العزيز ال سعود في الاستيلاء على الطائف في عام 1924.
متى نجح عبد العزيز ال سعود في الاستيلاء على عدة مدن في الحجاز؟,نجح عبد العزيز ال سعود في الاستيلاء على عدة مدن في الحجاز في عام 1926.
ما هو اللقب الذي أطلقه عبد العزيز ال سعود على نفسه في يناير 1926؟,أطلق عبد العزيز ال سعود على نفسه لقب ملك الحجاز وسلطان نجد في يناير 1926.
متى وقعت معاهدة الطائف بين السعودية واليمن؟,وقعت معاهدة الطائف بين السعودية واليمن عام 1934.
